"country_name","avg_unemployment_rate","avg_gini_coefficient","avg_secondary_enrollment_rate","enrollment_category"
"Myanmar","1.36","0.31","71.26","Moderate Enrollment"
"Namibia",NULL,"0.67","59.97","Moderate Enrollment"
"Nepal",NULL,"0.35","55.54","Moderate Enrollment"
"Netherlands","5.51","0.28","119.72","High Enrollment"
"Nicaragua","4.75","0.49","52.59","Moderate Enrollment"
"Niger","1.31","0.37","11.53","Low Enrollment"
"Nigeria","4.31","0.36","44.31","Low Enrollment"
"North Macedonia","30.34","0.37","83.63","High Enrollment"
"Norway","3.67","0.27","112.05","High Enrollment"
"Pakistan","3.19","0.31","27.94","Low Enrollment"
"Panama","9.20","0.53","69.89","Moderate Enrollment"
"Paraguay","5.67","0.50","69.49","Moderate Enrollment"
"Peru","4.48","0.47","88.76","High Enrollment"
"Philippines","4.93","0.43","80.08","High Enrollment"
"Poland","10.37","0.32","103.26","High Enrollment"
"Portugal","9.52","0.36","109.84","High Enrollment"
"Qatar","0.14","0.35","102.31","High Enrollment"
"Romania","6.39","0.32","89.07","High Enrollment"
"Russian Federation","6.67","0.39","93.53","High Enrollment"
"Rwanda",NULL,"0.47","25.69","Low Enrollment"
"Samoa",NULL,"0.41","79.41","Moderate Enrollment"
"Sao Tome and Principe","8.81","0.36","70.28","Moderate Enrollment"
"Senegal","2.85","0.39","31.92","Low Enrollment"
"Serbia","16.22","0.33","93.28","High Enrollment"
"Seychelles","3.53","0.32","108.27","High Enrollment"
"Sierra Leone","3.19","0.35","40.36","Low Enrollment"
"Slovak Republic","11.82","0.26","93.63","High Enrollment"
"Slovenia","6.78","0.25","103.67","High Enrollment"
"Solomon Islands",NULL,"0.42","39.28","Low Enrollment"
"South Africa","25.14","0.62","85.74","High Enrollment"
"Spain","17.39","0.35","115.92","High Enrollment"
"Sri Lanka","9.07","0.36","89.90","High Enrollment"
"St. Lucia",NULL,"0.47","91.55","High Enrollment"
"Sudan","13.00","0.35","44.53","Low Enrollment"
"Sweden","6.66","0.27","120.50","High Enrollment"
"Switzerland","3.93","0.33","98.62","High Enrollment"
"Syrian Arab Republic","8.86","0.36","57.44","Moderate Enrollment"
"Tajikistan","4.64","0.32","79.04","Moderate Enrollment"
"Tanzania","3.60","0.38","16.02","Low Enrollment"
"Thailand","1.20","0.40","79.49","Moderate Enrollment"
"Timor-Leste","5.24","0.32","53.21","Moderate Enrollment"
"Togo","3.11","0.42","55.04","Moderate Enrollment"
"Tonga","2.11","0.34","102.04","High Enrollment"
"Trinidad and Tobago","20.77","0.41","79.66","Moderate Enrollment"
"Tunisia","14.01","0.38","70.01","Moderate Enrollment"
"Turkiye","11.02","0.41","97.67","High Enrollment"
"Uganda","3.55","0.42","20.59","Low Enrollment"
"Ukraine","8.48","0.27","94.52","High Enrollment"
"United Kingdom","6.80","0.33","95.84","High Enrollment"
"United States","6.21","0.38","94.64","High Enrollment"
"Uruguay","9.63","0.42","101.80","High Enrollment"
"Uzbekistan","0.35","0.34","89.24","High Enrollment"
"Vanuatu","1.85","0.37","53.75","Moderate Enrollment"
"Venezuela, RB","10.86","0.48","62.93","Moderate Enrollment"
"Viet Nam","1.66","0.36","92.58","High Enrollment"
"West Bank and Gaza","20.49","0.35","88.84","High Enrollment"
"Yemen, Rep.","16.05","0.35","42.38","Low Enrollment"
