"country_name","survey_year","gini_coefficient","poverty_rate_percent","decile_1_income_share","decile_10_income_share","decile_inequality_category"
"Chad",2022,"0.374","30.85","0.028078028187","0.295249789038","High Decile Gap"
"Burkina Faso",2021,"0.374","25.28","0.03029423819","0.301804238811","High Decile Gap"
"Solomon Islands",2012,"0.371","26.56","0.02757647281","0.292442121244","High Decile Gap"
"Dominican Republic",2022,"0.370","0.76","0.026097034709","0.282922462303","High Decile Gap"
"Mauritius",2017,"0.368","0.13","0.029151951191","0.298655978574","High Decile Gap"
"Yemen, Rep.",2014,"0.367","19.80","0.030050339641","0.294341542561","High Decile Gap"
"Lithuania",2021,"0.367","0.25","0.026245849199","0.2908009633","High Decile Gap"
"Senegal",2021,"0.362","9.93","0.030213758975","0.288282410547","High Decile Gap"
"Indonesia",2023,"0.361","1.82","0.033275260382","0.298619783276","High Decile Gap"
"Viet Nam",2022,"0.361","0.96","0.025694004806","0.281224744589","High Decile Gap"
"Sierra Leone",2018,"0.357","26.06","0.033523046031","0.293942774007","High Decile Gap"
"Mali",2021,"0.357","20.85","0.032296879592","0.283364131525","High Decile Gap"
"China",2021,"0.357","0.00","0.030394715325","0.280372029358","Moderate Decile Gap"
"Marshall Islands",2019,"0.355","0.85","0.028419301745","0.274725376386","Moderate Decile Gap"
"Liberia",2016,"0.353","27.62","0.029406670657","0.270849548711","Moderate Decile Gap"
"Cote d'Ivoire",2021,"0.353","9.73","0.031499845099","0.278408265219","Moderate Decile Gap"
"Nigeria",2018,"0.351","30.86","0.028845162551","0.267422067447","Moderate Decile Gap"
"Russian Federation",2021,"0.351","0.18","0.026857099017","0.266296749558","Moderate Decile Gap"
"Qatar",2017,"0.351","0.00","0.025558544746","0.25765531656","Moderate Decile Gap"
"Ethiopia",2015,"0.350","26.98","0.02888964721","0.284638148859","High Decile Gap"
"Thailand",2021,"0.349","0.01","0.031857391967","0.270509977055","Moderate Decile Gap"
"Italy",2021,"0.348","0.81","0.023026694203","0.262012529326","Moderate Decile Gap"
"Iran, Islamic Rep.",2022,"0.348","0.47","0.028306621113","0.268419432198","Moderate Decile Gap"
"Portugal",2021,"0.346","0.23","0.027955612275","0.275106633391","Moderate Decile Gap"
"Benin",2021,"0.344","12.72","0.031082078767","0.271576356977","Moderate Decile Gap"
"Montenegro",2021,"0.343","1.98","0.021407068286","0.246901727676","Moderate Decile Gap"
"Australia",2018,"0.343","0.50","0.027646809207","0.262081019318","Moderate Decile Gap"
"Latvia",2021,"0.343","0.40","0.026066215581","0.261820215373","Moderate Decile Gap"
"Sudan",2014,"0.342","15.26","0.031747031032","0.277755670313","Moderate Decile Gap"
"Tajikistan",2015,"0.340","6.11","0.029526534455","0.263923046909","Moderate Decile Gap"
"Romania",2021,"0.339","1.76","0.019006877761","0.239993024127","Moderate Decile Gap"
"Spain",2021,"0.339","0.56","0.022106283923","0.246767866322","Moderate Decile Gap"
"West Bank and Gaza",2016,"0.337","0.50","0.028983143449","0.251929494637","Moderate Decile Gap"
"Tunisia",2021,"0.337","0.27","0.030831445335","0.269845004733","Moderate Decile Gap"
"Switzerland",2020,"0.337","0.04","0.029504298576","0.263567813444","Moderate Decile Gap"
"Jordan",2010,"0.337","0.04","0.034548521425","0.27446164408","Moderate Decile Gap"
"Georgia",2022,"0.335","4.27","0.026382019662","0.252013502808","Moderate Decile Gap"
"North Macedonia",2019,"0.335","2.66","0.018780210135","0.228943111744","Moderate Decile Gap"
"Guinea-Bissau",2021,"0.334","25.96","0.033929234168","0.261252045114","Moderate Decile Gap"
"Bangladesh",2022,"0.334","5.01","0.034671894387","0.273803207654","Moderate Decile Gap"
"Serbia",2021,"0.331","1.24","0.024887235903","0.258974800728","Moderate Decile Gap"
"Bosnia and Herzegovina",2011,"0.330","0.07","0.029355824715","0.251372586218","Moderate Decile Gap"
"Niger",2021,"0.329","50.61","0.037771120975","0.278066247474","Moderate Decile Gap"
"Japan",2013,"0.329","0.73","0.02993217143","0.260794847865","Moderate Decile Gap"
"Greece",2021,"0.329","0.57","0.026102871222","0.247529769497","Moderate Decile Gap"
"Korea, Rep.",2021,"0.329","0.00","0.029463730464","0.245607589724","Moderate Decile Gap"
"Luxembourg",2021,"0.327","0.05","0.02787241804","0.245237590456","Moderate Decile Gap"
"Nauru",2012,"0.324","1.67","0.034032131515","0.253439463879","Moderate Decile Gap"
"United Kingdom",2021,"0.324","0.25","0.030411838777","0.245790275678","Moderate Decile Gap"
"Germany",2020,"0.324","0.24","0.029402294481","0.250256425021","Moderate Decile Gap"
"Vanuatu",2019,"0.323","9.96","0.030443431547","0.247239288354","Moderate Decile Gap"
"Seychelles",2018,"0.321","0.51","0.026221739855","0.238717449452","Moderate Decile Gap"
"Mauritania",2019,"0.320","5.35","0.031326226733","0.245876693708","Moderate Decile Gap"
"Egypt, Arab Rep.",2019,"0.319","1.47","0.038407754396","0.274768235197","Moderate Decile Gap"
"Estonia",2021,"0.318","0.31","0.030931708903","0.242787958944","Moderate Decile Gap"
"Lebanon",2011,"0.318","0.00","0.030934536983","0.246727106644","Moderate Decile Gap"
"Canada",2019,"0.317","0.25","0.029726830836","0.239782818833","Moderate Decile Gap"
"Taiwan, China",2021,"0.316","0.00","0.035149595443","0.252287141958","Moderate Decile Gap"
"France",2021,"0.315","0.06","0.029327316551","0.248949306598","Moderate Decile Gap"
"Malta",2020,"0.314","0.26","0.030954282109","0.250527075515","Moderate Decile Gap"
"Mongolia",2022,"0.314","0.22","0.033869204558","0.246459455214","Moderate Decile Gap"
"Cyprus",2021,"0.313","0.01","0.035470922564","0.256565859942","Moderate Decile Gap"
"Uzbekistan",2022,"0.312","2.25","0.02495212933","0.232229970874","Moderate Decile Gap"
"Myanmar",2017,"0.307","1.99","0.03763880438","0.255153082604","Moderate Decile Gap"
"Fiji",2019,"0.307","1.32","0.034679732488","0.242321925461","Moderate Decile Gap"
"Austria",2021,"0.307","0.49","0.027646330545","0.237813224447","Moderate Decile Gap"
"Ireland",2021,"0.301","0.06","0.036329967601","0.24826170566","Moderate Decile Gap"
"Nepal",2022,"0.300","0.37","0.036715020873","0.241814066057","Moderate Decile Gap"
"Sweden",2021,"0.298","0.63","0.02805863989","0.227443830984","Moderate Decile Gap"
"India",2021,"0.296","14.09","0.037366162169","0.232201449761","Moderate Decile Gap"
"Guinea",2018,"0.296","13.82","0.034781374507","0.230762061233","Moderate Decile Gap"
"Pakistan",2018,"0.296","4.93","0.042220733101","0.255341818214","Moderate Decile Gap"
"Iraq",2012,"0.295","0.09","0.03679674002","0.237043880317","Moderate Decile Gap"
"Albania",2020,"0.294","0.02","0.034180198398","0.227556139673","Moderate Decile Gap"
"Maldives",2019,"0.293","0.00","0.037760193264","0.232760941301","Moderate Decile Gap"
"Hungary",2021,"0.292","0.40","0.035178201473","0.240715490283","Moderate Decile Gap"
"Kazakhstan",2021,"0.292","0.02","0.042989710804","0.247998305558","Moderate Decile Gap"
"Kosovo",2017,"0.290","0.44","0.037897468278","0.245537328106","Moderate Decile Gap"
"Croatia",2021,"0.289","0.31","0.031101730191","0.222599376026","Moderate Decile Gap"
"Timor-Leste",2014,"0.287","24.44","0.040445031613","0.239820674493","Moderate Decile Gap"
"Poland",2021,"0.285","0.11","0.033544954523","0.228017207635","Moderate Decile Gap"
"Bhutan",2022,"0.285","0.00","0.036331381646","0.227033598821","Moderate Decile Gap"
"Denmark",2021,"0.283","0.15","0.036947667804","0.238282474433","Moderate Decile Gap"
"Armenia",2022,"0.279","0.78","0.039035506942","0.229925690347","Moderate Decile Gap"
"Kiribati",2019,"0.278","1.68","0.040376070694","0.228393514447","Moderate Decile Gap"
"Norway",2019,"0.277","0.16","0.033647206487","0.223550849855","Moderate Decile Gap"
"Finland",2021,"0.277","0.02","0.038404906804","0.229381199621","Moderate Decile Gap"
"Algeria",2011,"0.276","0.00","0.04046021337","0.22862357935","Moderate Decile Gap"
"Tonga",2021,"0.271","0.02","0.039648955772","0.220053411647","Moderate Decile Gap"
"Syrian Arab Republic",2022,"0.266","24.84","0.037975411325","0.211000534405","Low Decile Gap"
"Belgium",2021,"0.266","0.03","0.036449068527","0.218644372485","Moderate Decile Gap"
"Azerbaijan",2005,"0.266","0.00","0.048477501263","0.241827933872","Moderate Decile Gap"
"Kyrgyz Republic",2022,"0.264","0.31","0.04374520454","0.220358238753","Low Decile Gap"
"United Arab Emirates",2018,"0.264","0.00","0.028349685726","0.204805440877","Low Decile Gap"
"Czechia",2021,"0.262","0.06","0.038934525484","0.22182126202","Moderate Decile Gap"
"Iceland",2017,"0.261","0.00","0.040330372087","0.22046863047","Moderate Decile Gap"
"Netherlands",2021,"0.257","0.07","0.036250487224","0.213645856879","Low Decile Gap"
"Moldova",2021,"0.257","0.00","0.043437927191","0.220559507703","Low Decile Gap"
"Ukraine",2020,"0.256","0.03","0.042570286013","0.217194047242","Low Decile Gap"
"Belarus",2020,"0.244","0.00","0.044539242688","0.207244396858","Low Decile Gap"
"Slovenia",2021,"0.243","0.00","0.041963835116","0.206487660235","Low Decile Gap"
"Slovak Republic",2021,"0.241","0.10","0.034214213157","0.191282448015","Low Decile Gap"
