country_code,welfare_type,survey_acronym,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,gini,reporting_pop,reporting_pce,distribution_type,spl,survey_year,survey_coverage,reporting_level
ALB,consumption,HBS,2,2014 - 2017,2.15,0.003925699344,0.000388034422,5.4874231e-05,0.330556627407,2873457,3345.55624537542,micro,6.243834389922,2017,national,national
ALB,income,SILC-C,4,2016 - 2018,2.15,0.052648060214,0.017958083235,0.00875427758,0.370951266866,2873457,3345.55624537542,micro,5.502452724418,2017,national,national
ALB,consumption,HBS,3,2018 - 2020,2.15,0.000481070476,5.6359287e-05,6.735117e-06,0.301482817366,2866376,3461.66437422341,micro,6.969988077306,2018,national,national
ALB,income,SILC-C,4,2016 - 2018,2.15,0.038929823491,0.011322119772,0.005091755975,0.359887519014,2866376,3461.66437422341,micro,5.749814235013,2018,national,national
ALB,consumption,HBS,3,2018 - 2020,2.15,0.0,0.0,0.0,0.301157683046,2854191,3591.29257724492,micro,6.955761981729,2019,national,national
ALB,consumption,HBS,3,2018 - 2020,2.15,0.000212773636,1.1518103e-05,6.23511e-07,0.294196298171,2837849,3489.23343398783,micro,7.182353303681,2020,national,national
ARE,income,HIES,0,2013 - 2018,2.15,0.0,0.0,0.0,0.325104208858,8787170,15943.3343606467,group,33.721719730956,2013,national,national
ARE,income,HIES,0,2013 - 2018,2.15,0.0,0.0,0.0,0.263990043944,9140169,16365.3201710549,group,38.275918606808,2018,national,national
ARG,income,EPH,0,1980 - 1991,2.15,0.0,0.0,0.0,0.408308603303,23228918,,group,13.565243675087,1980,urban,urban
ARG,income,EPH,0,1980 - 1991,2.15,0.011191321131,0.009824744059,0.008649883558,0.427977841774,26272907,,micro,13.833658582382,1986,urban,urban
ARG,income,EPH,0,1980 - 1991,2.15,0.011860859178,0.007984910277,0.00646296696,0.452675117034,26797140,,micro,12.329807186163,1987,urban,urban
ARG,income,EPH,0,1980 - 1991,2.15,0.009720286287,0.005882949151,0.004328441809,0.467544557541,28910601,,micro,8.707314140122,1991,urban,urban
ARG,income,EPH,1,1992 - 1997,2.15,0.016737125255,0.010179479698,0.007893479838,0.454551668805,29386348,,micro,9.053758345783,1992,urban,urban
ARG,income,EPH,1,1992 - 1997,2.15,0.019766661717,0.01060928252,0.007867679453,0.448434193232,29859584,6139.43515672298,micro,9.228080688254,1993,urban,urban
ARG,income,EPH,1,1992 - 1997,2.15,0.019113265993,0.012563820475,0.010017256971,0.458984992718,30336257,6424.87141027683,micro,8.961193705333,1994,urban,urban
ARG,income,EPH,1,1992 - 1997,2.15,0.038554343889,0.020245123591,0.014646522841,0.488787408388,30809888,6063.19657045336,micro,8.370613019303,1995,urban,urban
ARG,income,EPH,1,1992 - 1997,2.15,0.042175671839,0.025194956691,0.019523964878,0.494914048035,31272164,6318.62332761053,micro,8.077318630392,1996,urban,urban
ARG,income,EPH,1,1992 - 1997,2.15,0.037657508073,0.02027641081,0.015028077576,0.490858614701,31720057,6803.80069334549,micro,8.567839758041,1997,urban,urban
ARG,income,EPH,2,1998 - 2002,2.15,0.039691887942,0.019467196435,0.013285318908,0.507132225206,32160222,6959.16995825289,micro,7.936433460046,1998,urban,urban
ARG,income,EPH,2,1998 - 2002,2.15,0.04187958437,0.022013949146,0.015805411803,0.497662957838,32603604,6741.99420777259,micro,7.88980217171,1999,urban,urban
ARG,income,EPH,2,1998 - 2002,2.15,0.049882613603,0.025471289854,0.017672998164,0.510386125623,33045629,6622.04746890035,micro,7.560154130754,2000,urban,urban
ARG,income,EPH,2,1998 - 2002,2.15,0.082347868249,0.042534498241,0.029814211781,0.532943099597,33480950,6173.61957818371,micro,6.870723930401,2001,urban,urban
ARG,income,EPH,2,1998 - 2002,2.15,0.124471545388,0.047350123406,0.026465446579,0.537604421252,33910889,5230.98707466048,micro,5.074312709442,2002,urban,urban
ARG,income,EPHC-S2,3,2003 - 2022,2.15,0.053636474127,0.019359304926,0.010617869236,0.509947160233,34330154,5600.19117402276,micro,6.936451331864,2003,urban,urban
ARG,income,EPHC-S2,3,2003 - 2022,2.15,0.038789884305,0.012646907235,0.006676349008,0.48483650559,34747780,6070.24060137833,micro,7.857741374522,2004,urban,urban
ARG,income,EPHC-S2,3,2003 - 2022,2.15,0.026837500489,0.00891236282,0.00471740219,0.478103869315,35175563,6451.96264700318,micro,8.591856067861,2005,urban,urban
ARG,income,EPHC-S2,3,2003 - 2022,2.15,0.021735890893,0.007930970659,0.004316654106,0.464445569392,35608120,7085.16602872579,micro,9.651952744809,2006,urban,urban
ARG,income,EPHC-S2,3,2003 - 2022,2.15,0.017975101322,0.006503314926,0.003770600477,0.462826777285,36034446,7669.27329593239,micro,9.9416594243,2007,urban,urban
ARG,income,EPHC-S2,3,2003 - 2022,2.15,0.016375881253,0.006083494393,0.003454184223,0.449868295686,36459843,8143.67376678509,micro,10.343257344064,2008,urban,urban
ARG,income,EPHC-S2,3,2003 - 2022,2.15,0.015534867224,0.005261335535,0.002872910243,0.437590003805,36897033,7626.36003840856,micro,10.976331026511,2009,urban,urban
ARG,income,EPHC-S2,3,2003 - 2022,2.15,0.007465409302,0.002880128262,0.001745349098,0.436765980546,37055902,8457.96700369092,micro,11.250206008387,2010,urban,urban
ARG,income,EPHC-S2,3,2003 - 2022,2.15,0.007113769615,0.002802583868,0.001688998735,0.427379566726,37543830,9144.32049404601,micro,11.917986523647,2011,urban,urban
ARG,income,EPHC-S2,3,2003 - 2022,2.15,0.006470466274,0.00287872987,0.001813961017,0.414373928311,38027774,9141.32692467183,micro,12.074565337837,2012,urban,urban
ARG,income,EPHC-S2,3,2003 - 2022,2.15,0.006666751344,0.002783581533,0.001790946258,0.410865078127,38509756,9368.5477700906,micro,12.192320902414,2013,urban,urban
ARG,income,EPHC-S2,3,2003 - 2022,2.15,0.006047794552,0.002647296139,0.001706085037,0.418225279896,38990109,8862.27025201094,micro,11.202642795607,2014,urban,urban
ARG,income,EPHC-S2,3,2003 - 2022,2.15,0.006968851857,0.002832644545,0.001789951951,0.423450476005,39940546,8922.06360269184,micro,11.590506048933,2016,urban,urban
ARG,income,EPHC-S2,3,2003 - 2022,2.15,0.00603796313,0.002312384585,0.001492270486,0.414348367311,40410674,9197.19895562786,micro,12.148084203009,2017,urban,urban
ARG,income,EPHC-S2,3,2003 - 2022,2.15,0.010443242816,0.003775659874,0.002085721067,0.417190074089,40877099,8899.789527597,micro,11.12099386817,2018,urban,urban
ARG,income,EPHC-S2,3,2003 - 2022,2.15,0.011097424233,0.004005465787,0.002306397213,0.433141764144,41339571,8271.92477105359,micro,10.609783143065,2019,urban,urban
ARG,income,EPHC-S2,3,2003 - 2022,2.15,0.011731251516,0.003668785252,0.002168788331,0.427437579198,41796990,7194.98371026465,micro,9.458471297705,2020,urban,urban
ARG,income,EPHC-S2,3,2003 - 2022,2.15,0.008942179246,0.004110785995,0.002517836729,0.424455905717,42248949,7865.00251137543,micro,10.098111934201,2021,urban,urban
ARG,income,EPHC-S2,3,2003 - 2022,2.15,0.006118898376,0.002417382958,0.001413071707,0.407364927914,42696478,8545.85863410871,micro,9.795246480079,2022,urban,urban
ARM,income,ILCS,0,1996,2.15,0.14373,0.030539989239,0.008666342944,0.444185809307,3298898,999.075637007397,group,3.482958224773,1996,national,national
ARM,consumption,ILCS,1,1999 - 2018,2.15,0.11899413795,0.028327981473,0.009963298145,0.362197242998,3206030,1172.33562339947,micro,3.113157744456,1999,national,national
ARM,consumption,ILCS,1,1999 - 2018,2.15,0.139747493762,0.030136789266,0.010191808104,0.353643589726,3133133,1391.49366166695,micro,3.035850679655,2001,national,national
ARM,consumption,ILCS,1,1999 - 2018,2.15,0.099666040493,0.021111412493,0.007153839728,0.347796743436,3105037,1520.33895534797,micro,3.127886277038,2002,national,national
ARM,consumption,ILCS,1,1999 - 2018,2.15,0.075395174709,0.011541281633,0.003161880456,0.330280868704,3084102,1641.79682773135,micro,3.233774575306,2003,national,national
ARM,consumption,ILCS,1,1999 - 2018,2.15,0.053178055283,0.01230439111,0.004484710293,0.375056325361,3065745,1798.62915074421,micro,3.56500848329,2004,national,national
ARM,consumption,ILCS,1,1999 - 2018,2.15,0.02629570387,0.006001232169,0.00208074946,0.359923534438,3047246,1974.02469793434,micro,3.868999517944,2005,national,national
ARM,consumption,ILCS,1,1999 - 2018,2.15,0.019985935161,0.00322876694,0.000906947166,0.297099847661,3026486,2152.3729340267,micro,4.068864298418,2006,national,national
ARM,consumption,ILCS,1,1999 - 2018,2.15,0.015362026096,0.002813544865,0.000955683853,0.312260582589,3004393,2454.910059604,micro,4.348739227778,2007,national,national
ARM,consumption,ILCS,1,1999 - 2018,2.15,0.008796942479,0.00189145614,0.000631720252,0.291881417271,2983421,2604.74040252939,micro,4.47965927436,2008,national,national
ARM,consumption,ILCS,1,1999 - 2018,2.15,0.012476557322,0.001970875417,0.000487946727,0.280158774016,2964296,2504.45142316674,micro,4.128458831647,2009,national,national
ARM,consumption,ILCS,1,1999 - 2018,2.15,0.009514653458,0.001503499293,0.000460758847,0.299925823432,2946293,2615.50592813336,micro,4.110837100716,2010,national,national
ARM,consumption,ILCS,1,1999 - 2018,2.15,0.011850709377,0.001864189136,0.000475215907,0.2935294582,2928976,2694.11200268983,micro,4.2408841062,2011,national,national
ARM,consumption,ILCS,1,1999 - 2018,2.15,0.008322223493,0.001569495111,0.000515085091,0.296022614259,2914421,2953.45330814112,micro,4.336469972606,2012,national,national
ARM,consumption,ILCS,1,1999 - 2018,2.15,0.017382651756,0.003448683744,0.00114826115,0.305796631523,2901385,3017.2915192404,micro,4.448706461106,2013,national,national
ARM,consumption,ILCS,1,1999 - 2018,2.15,0.014391430834,0.002208280288,0.000601240614,0.314832906537,2889930,3077.42803930291,micro,4.516536097922,2014,national,national
ARM,consumption,ILCS,1,1999 - 2018,2.15,0.011463600683,0.002138460817,0.000739090602,0.323567717962,2878595,2856.50544757256,micro,4.704019625399,2015,national,national
ARM,consumption,ILCS,1,1999 - 2018,2.15,0.011079465678,0.001524025406,0.000435949806,0.325479483558,2865835,2811.08445507065,micro,5.005723671481,2016,national,national
ARM,consumption,ILCS,1,1999 - 2018,2.15,0.007856545904,0.00133866736,0.000355074413,0.336218373633,2851923,3219.42996275417,micro,4.634912727249,2017,national,national
ARM,consumption,ILCS,1,1999 - 2018,2.15,0.013398209264,0.002240027347,0.000571786471,0.344334976829,2836557,3392.41174709071,micro,4.617804247365,2018,national,national
ARM,consumption,ILCS,2,2019 - 2022,2.15,0.010300697785,0.001231627058,0.000288480907,0.300312121859,2820602,3804.307518605,micro,4.506994280052,2019,national,national
ARM,consumption,ILCS,2,2019 - 2022,2.15,0.003520104979,0.00057361281,0.000155273685,0.251316039294,2805608,3290.29873937996,micro,4.459712921012,2020,national,national
ARM,consumption,ILCS,2,2019 - 2022,2.15,0.005235208329,0.00078445846,0.000190529203,0.279401304413,2790974,3398.78267757215,micro,4.520944668822,2021,national,national
ARM,consumption,ILCS,2,2019 - 2022,2.15,0.007810782514,0.00090083031,0.000180755945,0.279452946048,2780469,3596.14713683452,micro,4.507836318072,2022,national,national
AUS,income,IHS-LIS,0,1981,2.15,0.00993503048,0.004778268282,0.003189656968,0.313247561486,14923260,17085.1709976995,micro,17.311078869502,1981,national,national
AUS,income,IDS-LIS,1,1985,2.15,0.010013097558,0.005630786099,0.003858419167,0.324964328636,15788312,17689.0717619152,micro,17.504134293029,1985,national,national
AUS,income,SIHCA-LIS,2,1989 - 2018,2.15,0.00744274979,0.004269434861,0.002970240723,0.331519269633,16814416,19147.930053139,micro,17.996560633743,1989,national,national
AUS,income,SIH-LIS,2,1989 - 2018,2.15,0.007497822673,0.005735548178,0.004595050517,0.325786281925,18004882,20894.57016280185,micro,16.659038577572,1995,national,national
AUS,income,SIH-LIS,2,1989 - 2018,2.15,0.007474116155,0.005752426949,0.004622846156,0.334620401472,19274701,24752.747980350003,micro,18.738466617694,2001,national,national
AUS,income,SIH-LIS,2,1989 - 2018,2.15,0.009973307113,0.007007935839,0.00556021449,0.334968583844,19720737,26286.186595601503,micro,19.338792924071,2003,national,national
AUS,income,SIH-HES-LIS,3,2004 - 2016,2.15,0.00712537196,0.004184104863,0.00351480487,0.33055769432,19932722,27265.096941303,micro,21.065018978883,2004,national,national
AUS,income,SIH-LIS,2,1989 - 2018,2.15,0.003612324396,0.00309059577,0.002644220498,0.354285082805,21249199,29719.2132815982,micro,25.274708648722,2008,national,national
AUS,income,SIH-HES-LIS,3,2004 - 2016,2.15,0.003491684119,0.002961241847,0.00251138218,0.346567275956,22031750,30413.4412844303,micro,25.650793150392,2010,national,national
AUS,income,SIH-LIS,2,1989 - 2018,2.15,0.004984838032,0.00346814486,0.002581720074,0.343981983932,23475686,31623.13818624516,micro,27.2872902988,2014,national,national
AUS,income,SIH-HES-LIS,3,2004 - 2016,2.15,0.004987417526,0.002926187618,0.002140784241,0.336852240674,24190907,32252.6967861906,micro,27.134018424356,2016,national,national
AUS,income,SIH-LIS,2,1989 - 2018,2.15,0.004970939722,0.003765992551,0.002933077647,0.34332562752,24963258,32790.4992175494,micro,27.675247355954,2018,national,national
AUT,income,ECHP-LIS,1,1994 - 2000,2.15,0.002309148347,0.000542176676,0.000127300417,0.308280190012,7936118,18935.7682385117,micro,23.514373213475,1994,national,national
AUT,income,ECHP-LIS,0,1995,2.15,0.0,0.0,0.0,0.299143278264,7948278,19067.9649008791,micro,23.478682751956,1995,national,national
AUT,income,ECHP-LIS,1,1994 - 2000,2.15,0.0,0.0,0.0,0.29317808267,7959017,19601.8766898424,micro,22.627874198445,1996,national,national
AUT,income,ECHP-LIS,1,1994 - 2000,2.15,0.002459834857,0.000121591086,6.010319e-06,0.290653676721,7968041,19661.92794135,micro,22.773152140908,1997,national,national
AUT,income,ECHP-LIS,1,1994 - 2000,2.15,0.002394451395,0.000489273593,9.9976408e-05,0.313407733994,7976789,20210.9718813646,micro,23.034463770668,1998,national,national
AUT,income,ECHP-LIS,1,1994 - 2000,2.15,0.002260050581,0.000574131826,0.000145849547,0.296705383611,7992324,20659.3447982118,micro,24.202407971953,1999,national,national
AUT,income,ECHP-LIS,1,1994 - 2000,2.15,0.0,0.0,0.0,0.289646925102,8011566,21252.0135794364,micro,23.626254115018,2000,national,national
AUT,income,EU-SILC,2,2003 - 2021,2.15,0.003322032579,0.00254724896,0.002042892411,0.29465577022,8121423,21750.471777238,micro,25.066698289459,2003,national,national
AUT,income,EU-SILC,2,2003 - 2021,2.15,0.000816528878,0.000635010596,0.000551083933,0.297888257546,8171966,22117.628677025,micro,26.241952735429,2004,national,national
AUT,income,EU-SILC,2,2003 - 2021,2.15,0.00153690105,0.00097660994,0.000756933595,0.287151853831,8227829,22461.3821185147,micro,25.477380679513,2005,national,national
AUT,income,EU-SILC,2,2003 - 2021,2.15,0.000901100073,0.000457691989,0.000269984916,0.295875571859,8268641,22818.1789343277,micro,25.587574045023,2006,national,national
AUT,income,EU-SILC,2,2003 - 2021,2.15,0.003722917291,0.002648591776,0.0021365526,0.305793845669,8295487,22995.3691352011,micro,26.690313035516,2007,national,national
AUT,income,EU-SILC,2,2003 - 2021,2.15,0.004711670196,0.002287578961,0.00154415276,0.304370649107,8321496,23140.4260957776,micro,27.569463273557,2008,national,national
AUT,income,EU-SILC,2,2003 - 2021,2.15,0.006562347203,0.004347601981,0.003488388534,0.314948032223,8343323,23276.2178385652,micro,28.141216862234,2009,national,national
AUT,income,EU-SILC,2,2003 - 2021,2.15,0.004907025323,0.003395201894,0.002632566865,0.302516106515,8363404,23451.231331976,micro,28.632685233766,2010,national,national
AUT,income,EU-SILC,2,2003 - 2021,2.15,0.004154042297,0.002966408765,0.002383328442,0.308010022218,8391643,23686.6910457616,micro,27.89646036666,2011,national,national
AUT,income,EU-SILC,2,2003 - 2021,2.15,0.006169173685,0.004307104385,0.003495402911,0.304755320819,8429991,23702.0043017186,micro,27.498614827943,2012,national,national
AUT,income,EU-SILC,2,2003 - 2021,2.15,0.003379978552,0.002262466741,0.001766952746,0.307528886715,8479823,23544.0998309886,micro,28.329547327842,2013,national,national
AUT,income,EU-SILC,2,2003 - 2021,2.15,0.002242602162,0.001402058868,0.001076067167,0.305353481033,8546356,23431.7517992692,micro,28.380560388679,2014,national,national
AUT,income,EU-SILC,2,2003 - 2021,2.15,0.006771930205,0.005237959083,0.004422341793,0.305306866137,8642699,23283.6083256759,micro,28.642103124094,2015,national,national
AUT,income,EU-SILC,2,2003 - 2021,2.15,0.006640635485,0.005082855534,0.004202050474,0.307950097499,8736668,23389.1208081631,micro,29.646821523313,2016,national,national
AUT,income,EU-SILC,2,2003 - 2021,2.15,0.003180896205,0.002220889739,0.001763053745,0.297368804851,8797566,23681.6715707122,micro,29.664027832351,2017,national,national
AUT,income,EU-SILC,2,2003 - 2021,2.15,0.005683583696,0.00440110337,0.003648216122,0.308473054028,8840521,23827.4848048005,micro,29.355370157161,2018,national,national
AUT,income,EU-SILC,2,2003 - 2021,2.15,0.00640638887,0.004426997562,0.00356316562,0.302104301466,8879920,23851.9195197621,micro,29.971435196239,2019,national,national
AUT,income,EU-SILC,2,2003 - 2021,2.15,0.006835775451,0.005501159462,0.004683190728,0.298006064369,8916864,21727.1843402849,micro,30.701767015398,2020,national,national
AUT,income,EU-SILC,2,2003 - 2021,2.15,0.004858221894,0.003561882388,0.002968851726,0.307016016813,8955797,22544.7809848605,micro,30.279258159773,2021,national,national
AZE,consumption,SLC,0,1995,2.15,0.124205923224,0.034605224074,0.015730248094,0.346483792717,7684850,,micro,3.306252774018,1995,national,national
AZE,consumption,HBS,1,2001 - 2005,2.15,0.061576586832,0.011354502137,0.00337373885,0.364549364246,8111200,,micro,3.601808314165,2001,national,national
AZE,consumption,HBS,1,2001 - 2005,2.15,0.000795014714,9.7512034e-05,1.9801208e-05,0.252776662183,8171950,,micro,4.624856521356,2002,national,national
AZE,consumption,HBS,1,2001 - 2005,2.15,0.000505809657,3.6079201e-05,3.530717e-06,0.268328779352,8234100,,micro,4.772624622476,2003,national,national
AZE,consumption,HBS,1,2001 - 2005,2.15,0.0,0.0,0.0,0.26621592515,8306500,,micro,4.79571933863,2004,national,national
AZE,consumption,HBS,1,2001 - 2005,2.15,0.0,0.0,0.0,0.26554907705,8391850,,micro,5.179667109015,2005,national,national
BDI,consumption,EDCM,0,1992,2.15,0.75059,0.31284711429,0.161917550804,0.33333811746,5743085,,group,2.15,1992,national,national
BDI,consumption,EP,1,1998 - 2013,2.15,0.794411555483,0.398066899142,0.24401199736,0.42059556604,6107760,229.479979556703,micro,2.15,1998,national,national
BDI,consumption,QUIBB,1,1998 - 2013,2.15,0.718443183588,0.273451104142,0.126196177386,0.333598635492,7658190,237.905090862343,micro,2.15,2006,national,national
BDI,consumption,ECVMB,1,1998 - 2013,2.15,0.651328928523,0.252492223351,0.126137972088,0.386239922929,10322245,226.936490761159,micro,2.15,2013,national,national
BDI,consumption,EICVMB,2,2020,2.15,0.620657603876,0.234900974106,0.115326343287,0.374560924786,12269874,201.959926456257,micro,2.15,2020,national,national
BEL,income,SEP-LIS,0,1985 - 1997,2.15,0.002401877811,0.001931934679,0.001553939,0.252038515274,9858308,14113.1059624148,micro,16.643333681451,1985,national,national
BEL,income,SEP-LIS,0,1985 - 1997,2.15,0.004778089142,0.004222497381,0.003731509313,0.257115225105,9901664,15171.030321326,micro,17.463537108875,1988,national,national
BEL,income,SEP-LIS,0,1985 - 1997,2.15,0.009832838279,0.006972122765,0.005669222309,0.249462898229,10045158,16734.1461579988,micro,18.85417499211,1992,national,national
BEL,income,PSBH-ECHP-LIS,1,1995 - 2000,2.15,0.004124100702,0.003523308411,0.003014004728,0.284107669398,10136811,17170.2756450714,micro,21.647473936108,1995,national,national
BEL,income,SEP-LIS,0,1985 - 1997,2.15,0.00492479403,0.002725197201,0.002018460096,0.268321380688,10181245,17698.2172853622,micro,21.484681744502,1997,national,national
BEL,income,PSBH-ECHP-LIS,1,1995 - 2000,2.15,0.003055060094,0.002699820549,0.002385887927,0.331359138384,10251250,19033.5860831606,micro,23.307827423347,2000,national,national
BEL,income,EU-SILC,2,2003 - 2021,2.15,0.00294419303,0.001433600152,0.001067303874,0.281433176418,10376133,19235.0670466917,micro,23.002825124288,2003,national,national
BEL,income,EU-SILC,2,2003 - 2021,2.15,0.000520219589,0.000229544597,0.000148840434,0.305414246515,10421137,19355.8106439743,micro,23.711797865163,2004,national,national
BEL,income,EU-SILC,2,2003 - 2021,2.15,0.001930702323,0.001298960778,0.0010202756,0.293369022228,10478617,19527.6535504474,micro,24.061450376935,2005,national,national
BEL,income,EU-SILC,2,2003 - 2021,2.15,0.00168941521,0.001170574945,0.000902492661,0.280540346444,10547958,19743.5912248334,micro,24.104941701654,2006,national,national
BEL,income,EU-SILC,2,2003 - 2021,2.15,0.00151451473,0.000804137166,0.000588051489,0.292376664084,10625700,20009.2088081513,micro,24.334266792138,2007,national,national
BEL,income,EU-SILC,2,2003 - 2021,2.15,0.001184166603,0.000717091479,0.000543936739,0.283737185966,10709973,20124.7187641829,micro,24.784367728484,2008,national,national
BEL,income,EU-SILC,2,2003 - 2021,2.15,0.00107580909,0.00054375048,0.000427317987,0.285511841503,10796493,20080.1358815586,micro,25.129669988241,2009,national,national
BEL,income,EU-SILC,2,2003 - 2021,2.15,0.001371152835,0.000960946597,0.000767320627,0.283748156559,10895586,20496.239346467,micro,25.253269794089,2010,national,national
BEL,income,EU-SILC,2,2003 - 2021,2.15,0.001682681789,0.000868091051,0.000620036097,0.280604294978,11038264,20406.3971454384,micro,24.917492986298,2011,national,national
BEL,income,EU-SILC,2,2003 - 2021,2.15,0.001565714538,0.001236086007,0.001033234418,0.274904766914,11106932,20577.8391174039,micro,25.61042652968,2012,national,national
BEL,income,EU-SILC,2,2003 - 2021,2.15,0.001445080561,0.001203348646,0.001027559545,0.27668843813,11159407,20822.9550915786,micro,25.62586507933,2013,national,national
BEL,income,EU-SILC,2,2003 - 2021,2.15,0.000764959588,0.000524291806,0.000388410137,0.281340052688,11209057,20845.1557220647,micro,25.68205401546,2014,national,national
BEL,income,EU-SILC,2,2003 - 2021,2.15,0.000707585483,0.000527753862,0.000405697925,0.277293025828,11274196,21053.2266462899,micro,26.394160492606,2015,national,national
BEL,income,EU-SILC,2,2003 - 2021,2.15,0.000598161542,0.000510514559,0.000446986489,0.275807305703,11331422,21275.7794687839,micro,26.1334456071,2016,national,national
BEL,income,EU-SILC,2,2003 - 2021,2.15,0.001478685824,0.001105945193,0.000847041119,0.273876382302,11375158,21595.0150970053,micro,26.203229455319,2017,national,national
BEL,income,EU-SILC,2,2003 - 2021,2.15,0.000811135955,0.000596383301,0.00049229004,0.272141894571,11427054,21915.0432122873,micro,26.77328799412,2018,national,national
BEL,income,EU-SILC,2,2003 - 2021,2.15,0.00078552465,0.000579393179,0.000461158235,0.272195459095,11488980,22166.9356931225,micro,27.464232888574,2019,national,national
BEL,income,EU-SILC,2,2003 - 2021,2.15,0.000547254789,0.000289839828,0.00016834546,0.259582783211,11538604,20262.9834535023,micro,27.670015195619,2020,national,national
BEL,income,EU-SILC,2,2003 - 2021,2.15,0.000299653714,0.000212475261,0.000179034551,0.265776310377,11586195,21449.9342458646,micro,28.39781997473,2021,national,national
BEN,consumption,QUIBB,0,2003,2.15,0.530894623154,0.182282140665,0.083308334209,0.385776191998,7659208,739.32496855935,micro,2.181310906248,2003,national,national
BEN,consumption,EMICOV,1,2011 - 2015,2.15,0.542616466025,0.197790724191,0.093520689172,0.434395541638,9821320,760.586561478143,micro,2.15,2011,national,national
BEN,consumption,EMICOV,1,2011 - 2015,2.15,0.507092571398,0.228632282841,0.14413325536,0.476296381084,10932783,783.03274582093,micro,2.211948016554,2015,national,national
BEN,consumption,EHCVM,2,2018 - 2021,2.15,0.200821865179,0.048043746961,0.016938250941,0.379486444976,12115563,782.856426987469,micro,2.890916283895,2018,national,national
BEN,consumption,EHCVM,2,2018 - 2021,2.15,0.127232785827,0.028640198212,0.009900629379,0.343958073714,13263871,805.339943058802,micro,3.150732157172,2021,national,national
BFA,consumption,EP-I,0,1994,2.15,0.820794173065,0.466758040463,0.301177917285,0.480252399485,10156757,225.231755077518,micro,2.15,1994,national,national
BFA,consumption,EP-II,1,1998 - 2003,2.15,0.799178962558,0.410293304146,0.24688119416,0.498779486741,11201063,325.794647947105,micro,2.15,1998,national,national
BFA,consumption,ECVM,1,1998 - 2003,2.15,0.547037376106,0.220658288959,0.111773913852,0.432512782742,13030591,369.21795647547,micro,2.15,2003,national,national
BFA,consumption,ECVM,2,2009,2.15,0.526491697128,0.182022435214,0.083970224086,0.397610015007,15650022,396.901923766785,micro,2.176612275098,2009,national,national
BFA,consumption,EMC,3,2014,2.15,0.396028586897,0.095101035467,0.032216681479,0.353012275455,18169842,449.161188570855,micro,2.374178368502,2014,national,national
BFA,consumption,EHCVM,4,2018 - 2021,2.15,0.312038230194,0.084132700724,0.031886353693,0.430167316372,20672181,458.583707204931,micro,2.591966130711,2018,national,national
BFA,consumption,EHCVM,4,2018 - 2021,2.15,0.252770730541,0.06274181002,0.022257746642,0.37391286077,22484645,460.02548613914,micro,2.710351119056,2021,national,national
BGD,consumption,HHES,0,1983 - 1988,2.15,0.372840000001,0.093271557505,0.033454008122,0.258764897121,92289858,466.511280910618,group,2.379576838839,1983,national,national
BGD,consumption,HHES,0,1983 - 1988,2.15,0.319579999999,0.066823081506,0.019398701165,0.269174960154,97115422,471.559688916081,group,2.456683880289,1985,national,national
